WalkerID, PositionX, PositionY, PositionZ, Collisions, XIRate, log10(XIRate)
391, 3, 12, 4, 5569, 0.139225, 0.813935
392, 4, 12, 4, 5716, 0.1429, 0.816394
393, 5, 12, 4, 5625, 0.140625, 0.814879
394, 6, 12, 4, 5412, 0.1353, 0.811236
395, 7, 12, 4, 5382, 0.13455, 0.810712
396, 11, 14, 4, 11048, 0.2762, 0.878581
397, 12, 14, 4, 10873, 0.271825, 0.877074
398, 13, 14, 4, 11114, 0.27785, 0.879143
399, 11, 15, 4, 11004, 0.2751, 0.878205
400, 12, 15, 4, 10876, 0.2719, 0.877101
401, 13, 15, 4, 11196, 0.2799, 0.879837
402, 11, 16, 4, 11173, 0.279325, 0.879643
403, 12, 16, 4, 11020, 0.2755, 0.878342
404, 13, 16, 4, 11060, 0.2765, 0.878684
405, 11, 17, 4, 11037, 0.275925, 0.878487
406, 12, 17, 4, 11166, 0.27915, 0.879584
407, 13, 17, 4, 11289, 0.282225, 0.880618
408, 10, 1, 5, 9902, 0.24755, 0.868247
409, 11, 1, 5, 9957, 0.248925, 0.868769
410, 12, 1, 5, 9844, 0.2461, 0.867692
411, 13, 1, 5, 9855, 0.246375, 0.867798
412, 16, 1, 5, 14564, 0.3641, 0.904656
413, 17, 1, 5, 14260, 0.3565, 0.902665
414, 18, 1, 5, 14482, 0.36205, 0.904123
415, 10, 2, 5, 10075, 0.251875, 0.869881
416, 11, 2, 5, 9843, 0.246075, 0.867683
417, 12, 2, 5, 9862, 0.24655, 0.867865
418, 13, 2, 5, 10219, 0.255475, 0.87122
419, 16, 2, 5, 14593, 0.364825, 0.904844
420, 17, 2, 5, 14383, 0.359575, 0.903476
421, 18, 2, 5, 14534, 0.36335, 0.904461
422, 10, 3, 5, 10065, 0.251625, 0.869787
423, 11, 3, 5, 10049, 0.251225, 0.869637
424, 12, 3, 5, 10134, 0.25335, 0.870432
425, 13, 3, 5, 10091, 0.252275, 0.870031
426, 16, 3, 5, 14231, 0.355775, 0.902473
427, 17, 3, 5, 14438, 0.36095, 0.903836
428, 18, 3, 5, 14606, 0.36515, 0.904928
429, 10, 4, 5, 9974, 0.24935, 0.86893
430, 11, 4, 5, 9956, 0.2489, 0.86876
431, 12, 4, 5, 10078, 0.25195, 0.869909
432, 13, 4, 5, 9956, 0.2489, 0.86876
433, 16, 4, 5, 14519, 0.362975, 0.904364
434, 17, 4, 5, 14481, 0.362025, 0.904117
435, 18, 4, 5, 14420, 0.3605, 0.903718
436, 17, 13, 5, 26614, 0.66535, 0.96155
437, 11, 14, 5, 10951, 0.273775, 0.877749
438, 12, 14, 5, 11165, 0.279125, 0.879575
439, 13, 14, 5, 11008, 0.2752, 0.878239
440, 17, 14, 5, 26711, 0.667775, 0.961893
441, 11, 15, 5, 11015, 0.275375, 0.878299
442, 12, 15, 5, 11400, 0.285, 0.881541
443, 13, 15, 5, 11034, 0.27585, 0.878462
444, 11, 16, 5, 11153, 0.278825, 0.879474
445, 12, 16, 5, 11056, 0.2764, 0.87865
446, 13, 16, 5, 11094, 0.27735, 0.878973
447, 11, 17, 5, 11039, 0.275975, 0.878504
448, 12, 17, 5, 11184, 0.2796, 0.879736
449, 13, 17, 5, 11143, 0.278575, 0.879389
450, 17, 13, 6, 26803, 0.670075, 0.962218
451, 17, 14, 6, 26621, 0.665525, 0.961575
452, 7, 16, 6, 40000, 1, 1
453, 17, 17, 6, 26691, 0.667275, 0.961822
454, 18, 17, 6, 26564, 0.6641, 0.961372
455, 17, 18, 6, 26608, 0.6652, 0.961529
456, 18, 18, 6, 26618, 0.66545, 0.961564
457, 5, 1, 7, 12286, 0.30715, 0.888604
458, 6, 1, 7, 12173, 0.304325, 0.887732
459, 7, 1, 7, 12302, 0.30755, 0.888727
460, 5, 2, 7, 12229, 0.305725, 0.888166
461, 6, 2, 7, 12185, 0.304625, 0.887825
462, 7, 2, 7, 12346, 0.30865, 0.889064
463, 5, 3, 7, 12219, 0.305475, 0.888088
464, 6, 3, 7, 12149, 0.303725, 0.887546
465, 7, 3, 7, 11917, 0.297925, 0.885727
466, 5, 4, 7, 12297, 0.307425, 0.888689
467, 6, 4, 7, 12222, 0.30555, 0.888111
468, 7, 4, 7, 12241, 0.306025, 0.888258
469, 17, 7, 7, 16570, 0.41425, 0.916833
470, 18, 7, 7, 16619, 0.415475, 0.917112
471, 17, 8, 7, 16547, 0.413675, 0.916702
472, 18, 8, 7, 16601, 0.415025, 0.91701
473, 17, 9, 7, 16582, 0.41455, 0.916902
474, 18, 9, 7, 16772, 0.4193, 0.917977
475, 17, 10, 7, 16475, 0.411875, 0.916291
476, 18, 10, 7, 16686, 0.41715, 0.917492
477, 1, 13, 7, 13537, 0.338425, 0.897755
478, 2, 13, 7, 13201, 0.330025, 0.895383
479, 1, 14, 7, 13296, 0.3324, 0.89606
480, 2, 14, 7, 13432, 0.3358, 0.89702
481, 1, 15, 7, 13407, 0.335175, 0.896844
482, 2, 15, 7, 13205, 0.330125, 0.895412
483, 1, 16, 7, 13313, 0.332825, 0.89618
484, 2, 16, 7, 13323, 0.333075, 0.896251
485, 5, 1, 8, 12042, 0.30105, 0.886711
486, 6, 1, 8, 12252, 0.3063, 0.888343
487, 7, 1, 8, 12048, 0.3012, 0.886758
488, 13, 1, 8, 33253, 0.831325, 0.982567
489, 14, 1, 8, 33351, 0.833775, 0.982844
490, 5, 2, 8, 12122, 0.30305, 0.887336
491, 6, 2, 8, 12339, 0.308475, 0.889011
492, 7, 2, 8, 12214, 0.30535, 0.88805
493, 5, 3, 8, 12265, 0.306625, 0.888443
494, 6, 3, 8, 12181, 0.304525, 0.887794
495, 7, 3, 8, 12137, 0.303425, 0.887453
496, 18, 3, 8, 33362, 0.83405, 0.982876
497, 5, 4, 8, 12308, 0.3077, 0.888773
498, 6, 4, 8, 12088, 0.3022, 0.887071
499, 7, 4, 8, 12041, 0.301025, 0.886703
500, 18, 4, 8, 33435, 0.835875, 0.983082
501, 5, 7, 8, 6084, 0.1521, 0.822282
502, 6, 7, 8, 6344, 0.1586, 0.826231
503, 7, 7, 8, 6330, 0.15825, 0.826022
504, 8, 7, 8, 6183, 0.154575, 0.823805
505, 9, 7, 8, 6393, 0.159825, 0.826957
506, 10, 7, 8, 6167, 0.154175, 0.82356
507, 11, 7, 8, 6132, 0.1533, 0.823023
508, 12, 7, 8, 6133, 0.153325, 0.823039
509, 17, 7, 8, 16797, 0.419925, 0.918117
510, 18, 7, 8, 16725, 0.418125, 0.917712
511, 5, 8, 8, 6303, 0.157575, 0.825619
512, 6, 8, 8, 6161, 0.154025, 0.823468
513, 7, 8, 8, 6206, 0.15515, 0.824155
514, 8, 8, 8, 6284, 0.1571, 0.825334
515, 9, 8, 8, 6587, 0.164675, 0.829778
516, 10, 8, 8, 6218, 0.15545, 0.824338
517, 11, 8, 8, 6300, 0.1575, 0.825574
518, 12, 8, 8, 6112, 0.1528, 0.822715
519, 17, 8, 8, 16715, 0.417875, 0.917656
520, 18, 8, 8, 16556, 0.4139, 0.916754
521, 5, 9, 8, 6134, 0.15335, 0.823054
522, 6, 9, 8, 6267, 0.156675, 0.825078
523, 7, 9, 8, 6300, 0.1575, 0.825574
524, 8, 9, 8, 6357, 0.158925, 0.826424
525, 9, 9, 8, 6361, 0.159025, 0.826483
